ccode;cname;year;ccode_qog;cname_qog;ccodealp;ccodecow;version;cname_year;ccodealp_year;gfs_envr
4;Afghanistan;2006;4;Afghanistan;AFG;700,00;QoGStdTSjan23;Afghanistan 2006;AFG06;1,67
4;Afghanistan;2007;4;Afghanistan;AFG;700,00;QoGStdTSjan23;Afghanistan 2007;AFG07;0,37
4;Afghanistan;2008;4;Afghanistan;AFG;700,00;QoGStdTSjan23;Afghanistan 2008;AFG08;0,16
4;Afghanistan;2009;4;Afghanistan;AFG;700,00;QoGStdTSjan23;Afghanistan 2009;AFG09;0,30
4;Afghanistan;2010;4;Afghanistan;AFG;700,00;QoGStdTSjan23;Afghanistan 2010;AFG10;0,14
4;Afghanistan;2011;4;Afghanistan;AFG;700,00;QoGStdTSjan23;Afghanistan 2011;AFG11;0,38
4;Afghanistan;2012;4;Afghanistan;AFG;700,00;QoGStdTSjan23;Afghanistan 2012;AFG12;0,41
4;Afghanistan;2013;4;Afghanistan;AFG;700,00;QoGStdTSjan23;Afghanistan 2013;AFG13;0,45
4;Afghanistan;2014;4;Afghanistan;AFG;700,00;QoGStdTSjan23;Afghanistan 2014;AFG14;0,31
4;Afghanistan;2015;4;Afghanistan;AFG;700,00;QoGStdTSjan23;Afghanistan 2015;AFG15;0,17
4;Afghanistan;2016;4;Afghanistan;AFG;700,00;QoGStdTSjan23;Afghanistan 2016;AFG16;0,27
4;Afghanistan;2017;4;Afghanistan;AFG;700,00;QoGStdTSjan23;Afghanistan 2017;AFG17;0,38
8;Albania;2005;8;Albania;ALB;339,00;QoGStdTSjan23;Albania 2005;ALB05;0,00
8;Albania;2006;8;Albania;ALB;339,00;QoGStdTSjan23;Albania 2006;ALB06;0,00
8;Albania;2007;8;Albania;ALB;339,00;QoGStdTSjan23;Albania 2007;ALB07;0,03
8;Albania;2008;8;Albania;ALB;339,00;QoGStdTSjan23;Albania 2008;ALB08;0,06
8;Albania;2010;8;Albania;ALB;339,00;QoGStdTSjan23;Albania 2010;ALB10;0,04
8;Albania;2011;8;Albania;ALB;339,00;QoGStdTSjan23;Albania 2011;ALB11;0,19
8;Albania;2012;8;Albania;ALB;339,00;QoGStdTSjan23;Albania 2012;ALB12;0,12
8;Albania;2013;8;Albania;ALB;339,00;QoGStdTSjan23;Albania 2013;ALB13;0,16
8;Albania;2014;8;Albania;ALB;339,00;QoGStdTSjan23;Albania 2014;ALB14;0,22
8;Albania;2015;8;Albania;ALB;339,00;QoGStdTSjan23;Albania 2015;ALB15;0,33
8;Albania;2016;8;Albania;ALB;339,00;QoGStdTSjan23;Albania 2016;ALB16;0,64
8;Albania;2017;8;Albania;ALB;339,00;QoGStdTSjan23;Albania 2017;ALB17;0,63
8;Albania;2018;8;Albania;ALB;339,00;QoGStdTSjan23;Albania 2018;ALB18;0,30
8;Albania;2019;8;Albania;ALB;339,00;QoGStdTSjan23;Albania 2019;ALB19;0,64
8;Albania;2020;8;Albania;ALB;339,00;QoGStdTSjan23;Albania 2020;ALB20;0,99
8;Albania;2021;8;Albania;ALB;339,00;QoGStdTSjan23;Albania 2021;ALB21;0,92
31;Azerbaijan;2008;31;Azerbaijan;AZE;373,00;QoGStdTSjan23;Azerbaijan 2008;AZE08;0,08
31;Azerbaijan;2009;31;Azerbaijan;AZE;373,00;QoGStdTSjan23;Azerbaijan 2009;AZE09;0,09
31;Azerbaijan;2010;31;Azerbaijan;AZE;373,00;QoGStdTSjan23;Azerbaijan 2010;AZE10;0,09
